iter	Logloss
0	0.6486454416
1	0.611080895
2	0.57847889
3	0.5493905106
4	0.5251570197
5	0.5042030492
6	0.4832564959
7	0.4671727228
8	0.4519227195
9	0.43682193
10	0.424985949
11	0.4138473466
12	0.4049367436
13	0.3965016988
14	0.3880643175
15	0.3809746537
16	0.3749271036
17	0.3696135282
18	0.3646638387
19	0.3602567249
20	0.3567115852
21	0.3531281889
22	0.3498994542
23	0.346742428
24	0.3439991979
25	0.3414861718
26	0.3391360846
27	0.337117816
28	0.3352732663
29	0.3330103136
30	0.3310538599
31	0.3294093937
32	0.3279289526
33	0.3264008997
34	0.3252934566
35	0.3242641407
36	0.3231168694
37	0.3219910812
38	0.3207714278
39	0.3195984999
40	0.3185883218
41	0.3178837687
42	0.3171667283
43	0.316429942
44	0.3156186618
45	0.3149750831
46	0.3141225765
47	0.3134078708
48	0.3125526723
49	0.3117143966
50	0.3109024844
51	0.3104272708
52	0.3098415283
53	0.3091582062
54	0.3084673258
55	0.3079544691
56	0.3072822077
57	0.3067338211
58	0.3062996865
59	0.3060039706
60	0.3056490814
61	0.3052844868
62	0.3047942769
63	0.3042937271
64	0.3039519473
65	0.3035380606
66	0.3029381873
67	0.3025105731
68	0.3021835158
69	0.3018749958
70	0.3015661817
71	0.3012719186
72	0.3008332549
73	0.3005183346
74	0.3001833958
75	0.2999232569
76	0.2995628695
77	0.2992522328
78	0.2990414596
79	0.2986325684
80	0.2983748453
81	0.2980615318
82	0.2977781792
83	0.297475265
84	0.2972596129
85	0.2970801368
86	0.2968160078
87	0.2966196544
88	0.2964357718
89	0.2962196557
90	0.2960600236
91	0.295876455
92	0.2957507834
93	0.2954866665
94	0.2952341938
95	0.295043965
96	0.2949285593
97	0.2945752072
98	0.2944165914
99	0.2941039008
100	0.2939618628
101	0.293649739
102	0.2934814782
103	0.2932889598
104	0.2932004805
105	0.2930907215
106	0.2929958293
107	0.2927611211
108	0.2922907552
109	0.2919636106
110	0.2918343168
111	0.2916311702
112	0.2914732863
113	0.2911278608
114	0.2909572477
115	0.2906858441
116	0.2905031945
117	0.289981136
118	0.2898669301
119	0.2897845259
120	0.2896548495
121	0.2894184284
122	0.2892398267
123	0.2890703139
124	0.2889490289
125	0.2886224247
126	0.2885008567
127	0.2883899849
128	0.2883255026
129	0.288204166
130	0.2880219427
131	0.2878758872
132	0.2877581101
133	0.2876959541
134	0.28757645
135	0.2874244465
136	0.2873085221
137	0.2871668768
138	0.2870862971
139	0.2869040244
140	0.2867996588
141	0.2866595051
142	0.2865737867
143	0.2864900065
144	0.2864299498
145	0.2863092389
146	0.2862252407
147	0.2860219592
148	0.2859080202
149	0.2858463142
150	0.2857462336
151	0.28555944
152	0.2854859572
153	0.2854602394
154	0.2853987578
155	0.2853217296
156	0.2852691055
157	0.2851816143
158	0.2851309427
159	0.2850770176
160	0.2850012679
161	0.2846676842
162	0.2845350701
163	0.2844520779
164	0.2843593505
165	0.2842867858
166	0.2842040729
167	0.2840399415
168	0.2835820617
169	0.2832957376
170	0.2831641211
171	0.2830415131
172	0.2829157871
173	0.282820093
174	0.2826527295
175	0.2826109327
176	0.2825254208
177	0.2823513762
178	0.2822229855
179	0.2821309079
180	0.2819478912
181	0.2818989598
182	0.2818464769
183	0.2817418709
184	0.2817008404
185	0.2816265616
186	0.2815763459
187	0.2815295566
188	0.2814674195
189	0.2813664464
190	0.2813219162
191	0.2812503098
192	0.2812143938
193	0.2811640091
194	0.2810802123
195	0.2808776223
196	0.2808422986
197	0.2806228845
198	0.2805479962
199	0.2804990507
200	0.2804120664
201	0.2804024518
202	0.2803936591
203	0.2803447587
204	0.2802830668
205	0.2801219106
206	0.2797448563
207	0.279695906
208	0.2795735575
209	0.2795412485
210	0.2794855964
211	0.2794079906
212	0.2792752212
213	0.2792311167
214	0.2792148316
215	0.2791821757
216	0.2791268216
217	0.2790340731
218	0.2788167163
219	0.2787250827
220	0.2786509608
221	0.2784661186
222	0.2783456298
223	0.2782466666
224	0.2781843371
225	0.2780886832
226	0.2780338527
227	0.277963815
228	0.2778963005
229	0.2778395423
230	0.2777850445
231	0.2776659179
232	0.277608196
233	0.2775572217
234	0.2775005938
235	0.277473767
236	0.2774529935
237	0.2774231191
238	0.2773633681
239	0.2772771521
240	0.2772428935
241	0.2771882654
242	0.2770827005
243	0.2770409153
244	0.2770111793
245	0.2765280215
246	0.2763937167
247	0.2762981967
248	0.2760075039
249	0.2759167508
250	0.2757869539
251	0.2757046409
252	0.2756071302
253	0.2754079198
254	0.275354844
255	0.2751245744
256	0.2750533494
257	0.2749763003
258	0.2749553267
259	0.2748768223
260	0.2748357178
261	0.2747148543
262	0.274624299
263	0.2745991109
264	0.2745270417
265	0.2740773884
266	0.2738490116
267	0.273800306
268	0.2737538737
269	0.273721658
270	0.2733042674
271	0.2732473584
272	0.2731715622
273	0.2729179462
274	0.2726942322
275	0.2726472823
276	0.2725661783
277	0.2723776612
278	0.2721888828
279	0.2720859645
280	0.2719812828
281	0.2719642923
282	0.271927444
283	0.2718294327
284	0.2717388713
285	0.2716816734
286	0.2716186794
287	0.2716045451
288	0.271367426
289	0.2712659571
290	0.2711474627
291	0.2711056895
292	0.2710001279
293	0.2708914747
294	0.2708313224
295	0.2706440363
296	0.2704934998
297	0.2704202258
298	0.2703385748
299	0.270281413
300	0.270119781
301	0.2699798908
302	0.2698802838
303	0.2698480029
304	0.2697572198
305	0.269733372
306	0.2696784647
307	0.2696365989
308	0.2693374275
309	0.2692992141
310	0.2692356007
311	0.2690376678
312	0.2690051116
313	0.2689383696
314	0.2688890936
315	0.2687707681
316	0.2686773634
317	0.2686689228
318	0.2685809192
319	0.268534427
320	0.2684900252
321	0.2683959979
322	0.2681669893
323	0.2680894075
324	0.2680583939
325	0.268032612
326	0.2677925565
327	0.2677640737
328	0.2676524682
329	0.2675940833
330	0.2675261285
331	0.2674643094
332	0.2674378242
333	0.2674132634
334	0.2673497196
335	0.2671610699
336	0.2670761764
337	0.2669900994
338	0.2669880249
339	0.2669291102
340	0.2668885325
341	0.2668789544
342	0.2667912925
343	0.2667376207
344	0.2666624424
345	0.2666102896
346	0.2665338423
347	0.2664730409
348	0.2664069701
349	0.2663496826
350	0.2662747032
351	0.2662212769
352	0.2661637082
353	0.2661246488
354	0.2660533051
355	0.2660255703
356	0.2659640836
357	0.2658769964
358	0.2658136285
359	0.2656829103
360	0.2656810207
361	0.2656443801
362	0.2655846638
363	0.2654991973
364	0.2654720488
365	0.2654214659
366	0.2653934908
367	0.2653697689
368	0.2653303388
369	0.2652522378
370	0.2651335017
371	0.2650616374
372	0.2650282276
373	0.2650122688
374	0.2649384543
375	0.2649350997
376	0.2649143227
377	0.2648672792
378	0.2647932777
379	0.2647360836
380	0.2646781483
381	0.2646441652
382	0.2645868278
383	0.2645465034
384	0.2644698245
385	0.264433859
386	0.2643668648
387	0.2643490375
388	0.2642945197
389	0.2642924179
390	0.2642805164
391	0.2642514101
392	0.2642264285
393	0.2641666107
394	0.2640953596
395	0.2640353693
396	0.2639986451
397	0.2639653687
398	0.263940107
399	0.2638845578
400	0.2638463776
401	0.2638029739
402	0.2637828498
403	0.2637487575
404	0.2637082346
405	0.2636698614
406	0.2634506251
407	0.2632330679
408	0.2631882514
409	0.263152618
410	0.2631041601
411	0.2629390171
412	0.2629220167
413	0.2628057786
414	0.2627355701
415	0.2626816374
416	0.2626643895
417	0.2626578248
418	0.2626115396
419	0.2625594489
420	0.2624956057
421	0.2624903972
422	0.2624620883
423	0.2624344898
424	0.2623718718
425	0.2623408731
426	0.2622903487
427	0.2622459859
428	0.2622029
429	0.2621542756
430	0.2620963773
431	0.2620697729
432	0.2620561844
433	0.2620202022
434	0.2619425201
435	0.2618529589
436	0.2618197
437	0.2618048124
438	0.2617226371
439	0.2617219418
440	0.2617039186
441	0.2616446835
442	0.2616059803
443	0.2615256059
444	0.2614858022
445	0.2614483503
446	0.2614135848
447	0.2614041017
448	0.2613441283
449	0.2612972929
450	0.2612722443
451	0.2612709549
452	0.2612246382
453	0.2612234794
454	0.2611496105
455	0.261132392
456	0.2610617969
457	0.2609578301
458	0.2609339631
459	0.2608832583
460	0.2608169911
461	0.2607668068
462	0.2607329183
463	0.2606640108
464	0.26063762
465	0.2606074981
466	0.2605752525
467	0.2605531171
468	0.2604779124
469	0.2604723863
470	0.2603298872
471	0.2602963982
472	0.2602543276
473	0.260242114
474	0.2601871431
475	0.2601747131
476	0.2601375718
477	0.2600462316
478	0.2600063094
479	0.2599596887
480	0.2599177379
481	0.2598456811
482	0.2598203398
483	0.2597695882
484	0.2597465258
485	0.2596990018
486	0.2596606789
487	0.2596464378
488	0.259581568
489	0.2595440945
490	0.2594887356
491	0.2594748958
492	0.2594673831
493	0.2594427406
494	0.2594320992
495	0.2593988397
496	0.2593628073
497	0.2592754034
498	0.259232686
499	0.2592017705
500	0.2591574023
