iter	Passed	Remaining
0	71	71369
1	96	48217
2	121	40401
3	144	35889
4	160	31955
5	171	28481
6	183	26074
7	193	24041
8	205	22580
9	215	21365
10	226	20398
11	238	19609
12	249	18951
13	261	18450
14	273	17961
15	284	17466
16	293	16973
17	303	16555
18	314	16229
19	323	15866
20	334	15580
21	345	15351
22	355	15121
23	366	14906
24	378	14768
25	389	14589
26	399	14413
27	409	14217
28	421	14097
29	432	13986
30	443	13849
31	454	13734
32	465	13634
33	476	13544
34	488	13463
35	498	13344
36	509	13270
37	521	13190
38	531	13108
39	543	13049
40	553	12957
41	565	12896
42	576	12832
43	587	12775
44	599	12725
45	610	12664
46	621	12610
47	632	12546
48	644	12499
49	655	12463
50	666	12399
51	678	12374
52	690	12341
53	703	12317
54	714	12283
55	726	12248
56	737	12201
57	748	12149
58	758	12105
59	769	12059
60	780	12018
61	793	12001
62	804	11969
63	816	11936
64	828	11911
65	839	11879
66	850	11839
67	861	11804
68	872	11767
69	883	11744
70	896	11731
71	908	11715
72	920	11695
73	933	11679
74	944	11645
75	956	11629
76	968	11604
77	979	11583
78	991	11557
79	1003	11543
80	1015	11524
81	1027	11501
82	1037	11465
83	1047	11426
84	1058	11389
85	1069	11363
86	1081	11345
87	1094	11338
88	1106	11322
89	1117	11300
90	1128	11276
91	1140	11256
92	1151	11231
93	1163	11212
94	1174	11192
95	1185	11161
96	1196	11135
97	1208	11126
98	1220	11106
99	1231	11079
100	1242	11063
101	1256	11063
102	1268	11043
103	1281	11038
104	1290	10999
105	1302	10988
106	1313	10965
107	1325	10946
108	1336	10922
109	1347	10905
110	1358	10881
111	1369	10861
112	1380	10839
113	1393	10833
114	1405	10819
115	1416	10795
116	1428	10782
117	1439	10761
118	1450	10741
119	1461	10719
120	1473	10701
121	1484	10680
122	1494	10658
123	1506	10640
124	1518	10629
125	1530	10613
126	1540	10592
127	1551	10571
128	1559	10532
129	1570	10511
130	1581	10488
131	1591	10468
132	1603	10450
133	1615	10441
134	1627	10430
135	1639	10412
136	1650	10398
137	1661	10377
138	1670	10350
139	1681	10330
140	1693	10316
141	1704	10301
142	1715	10283
143	1726	10261
144	1736	10236
145	1747	10221
146	1759	10208
147	1771	10198
148	1782	10183
149	1794	10170
150	1806	10154
151	1818	10143
152	1830	10132
153	1840	10112
154	1851	10093
155	1861	10070
156	1870	10043
157	1881	10025
158	1892	10010
159	1903	9991
160	1911	9963
161	1923	9951
162	1935	9940
163	1948	9932
164	1958	9912
165	1969	9894
166	1980	9877
167	1991	9864
168	2000	9834
169	2011	9820
170	2023	9808
171	2035	9797
172	2047	9787
173	2059	9775
174	2071	9763
175	2081	9747
176	2093	9735
177	2105	9724
178	2117	9712
179	2129	9702
180	2142	9693
181	2154	9681
182	2164	9664
183	2175	9648
184	2187	9635
185	2197	9619
186	2208	9600
187	2219	9584
188	2231	9573
189	2242	9561
190	2253	9543
191	2263	9525
192	2274	9512
193	2286	9501
194	2297	9485
195	2309	9474
196	2321	9464
197	2333	9453
198	2346	9443
199	2356	9424
200	2368	9415
201	2379	9398
202	2384	9362
203	2395	9347
204	2406	9331
205	2419	9323
206	2431	9313
207	2441	9295
208	2454	9289
209	2466	9279
210	2477	9263
211	2489	9252
212	2501	9240
213	2512	9227
214	2522	9208
215	2533	9193
216	2544	9181
217	2555	9167
218	2567	9155
219	2577	9139
220	2589	9128
221	2600	9112
222	2611	9099
223	2621	9081
224	2632	9069
225	2644	9057
226	2657	9051
227	2671	9044
228	2683	9033
229	2695	9022
230	2707	9012
231	2719	9002
232	2730	8987
233	2741	8974
234	2752	8961
235	2765	8952
236	2777	8940
237	2787	8926
238	2799	8914
239	2811	8903
240	2822	8889
241	2834	8878
242	2845	8865
243	2857	8852
244	2867	8838
245	2880	8828
246	2892	8818
247	2904	8808
248	2915	8793
249	2925	8777
250	2936	8763
251	2948	8751
252	2960	8741
253	2972	8729
254	2984	8719
255	2995	8706
256	3008	8696
257	3018	8681
258	3029	8667
259	3040	8654
260	3051	8639
261	3061	8623
262	3073	8612
263	3083	8596
264	3095	8584
265	3107	8575
266	3119	8562
267	3129	8547
268	3140	8534
269	3151	8520
270	3163	8510
271	3174	8495
272	3186	8484
273	3198	8474
274	3210	8464
275	3221	8451
276	3233	8438
277	3244	8427
278	3256	8415
279	3267	8403
280	3279	8391
281	3290	8378
282	3301	8365
283	3312	8352
284	3322	8335
285	3333	8323
286	3344	8309
287	3355	8295
288	3367	8285
289	3379	8274
290	3390	8261
291	3403	8251
292	3415	8241
293	3425	8224
294	3436	8211
295	3447	8198
296	3459	8187
297	3469	8173
298	3482	8164
299	3494	8153
300	3506	8143
301	3519	8133
302	3530	8120
303	3542	8110
304	3554	8100
305	3565	8086
306	3578	8077
307	3590	8067
308	3603	8059
309	3614	8044
310	3626	8034
311	3638	8022
312	3651	8013
313	3664	8005
314	3675	7993
315	3687	7981
316	3699	7971
317	3711	7959
318	3723	7948
319	3732	7931
320	3743	7918
321	3754	7906
322	3766	7894
323	3777	7881
324	3788	7868
325	3800	7856
326	3812	7847
327	3825	7837
328	3838	7829
329	3850	7817
330	3860	7802
331	3870	7787
332	3881	7774
333	3892	7760
334	3903	7748
335	3916	7739
336	3930	7732
337	3940	7717
338	3949	7700
339	3961	7690
340	3974	7680
341	3984	7666
342	3996	7654
343	4007	7641
344	4019	7631
345	4031	7620
346	4043	7609
347	4054	7596
348	4066	7585
349	4078	7574
350	4089	7561
351	4100	7549
352	4111	7535
353	4124	7526
354	4137	7517
355	4148	7504
356	4159	7492
357	4170	7479
358	4181	7465
359	4192	7454
360	4201	7437
361	4213	7426
362	4226	7416
363	4237	7404
364	4250	7394
365	4262	7383
366	4271	7367
367	4281	7353
368	4292	7340
369	4303	7326
370	4315	7316
371	4326	7303
372	4338	7292
373	4349	7280
374	4361	7268
375	4371	7254
376	4382	7242
377	4394	7230
378	4406	7219
379	4417	7206
380	4429	7195
381	4442	7186
382	4452	7173
383	4463	7160
384	4475	7148
385	4486	7136
386	4497	7124
387	4507	7109
388	4519	7098
389	4526	7080
390	4538	7068
391	4549	7056
392	4558	7041
393	4569	7028
394	4581	7017
395	4593	7005
396	4602	6991
397	4613	6977
398	4622	6963
399	4634	6951
400	4647	6941
401	4658	6929
402	4669	6916
403	4679	6903
404	4688	6887
405	4698	6874
406	4709	6862
407	4720	6849
408	4733	6839
409	4745	6828
410	4758	6818
411	4770	6807
412	4781	6795
413	4793	6784
414	4803	6771
415	4815	6760
416	4827	6749
417	4838	6736
418	4851	6727
419	4863	6716
420	4875	6705
421	4883	6689
422	4895	6677
423	4906	6666
424	4919	6656
425	4932	6646
426	4945	6636
427	4959	6627
428	4972	6617
429	4983	6606
430	4995	6595
431	5009	6586
432	5021	6575
433	5033	6563
434	5047	6555
435	5059	6545
436	5072	6534
437	5083	6522
438	5095	6511
439	5106	6499
440	5118	6487
441	5130	6477
442	5142	6466
443	5155	6455
444	5167	6445
445	5179	6433
446	5191	6422
447	5201	6409
448	5212	6396
449	5223	6384
450	5235	6372
451	5242	6355
452	5253	6343
453	5260	6326
454	5272	6315
455	5283	6303
456	5295	6291
457	5305	6278
458	5316	6266
459	5329	6256
460	5341	6245
461	5353	6233
462	5364	6222
463	5376	6211
464	5388	6199
465	5400	6188
466	5411	6175
467	5422	6164
468	5434	6152
469	5444	6140
470	5456	6128
471	5468	6117
472	5481	6106
473	5491	6094
474	5502	6081
475	5511	6067
476	5522	6055
477	5535	6045
478	5547	6033
479	5558	6021
480	5570	6010
481	5582	5999
482	5594	5988
483	5605	5976
484	5616	5964
485	5628	5952
486	5639	5940
487	5651	5929
488	5662	5917
489	5676	5908
490	5688	5897
491	5699	5884
492	5711	5873
493	5722	5861
494	5733	5849
495	5745	5837
496	5757	5826
497	5770	5817
498	5783	5806
499	5794	5794
500	5806	5783
501	5814	5768
502	5826	5756
503	5836	5744
504	5848	5732
505	5860	5721
506	5871	5709
507	5883	5697
508	5895	5687
509	5906	5674
510	5919	5664
511	5929	5651
512	5941	5640
513	5952	5628
514	5963	5616
515	5975	5605
516	5987	5594
517	5999	5582
518	6011	5570
519	6021	5558
520	6033	5546
521	6044	5535
522	6056	5523
523	6067	5511
524	6079	5500
525	6092	5490
526	6104	5479
527	6117	5468
528	6128	5456
529	6139	5444
530	6151	5433
531	6163	5422
532	6176	5411
533	6188	5400
534	6200	5389
535	6212	5378
536	6224	5366
537	6237	5356
538	6249	5345
539	6262	5334
540	6275	5324
541	6287	5312
542	6300	5302
543	6312	5291
544	6325	5280
545	6336	5268
546	6347	5256
